DS_Name,Date,age,case
Tougan,2016-04-01,ov5,1921
Tougan,2016-04-01,u5,970
Tougan,2017-04-01,ov5,2013
Tougan,2017-04-01,u5,1439
Tougan,2018-04-01,ov5,1490
Tougan,2018-04-01,u5,1125
Tougan,2015-05-01,ov5,1694
Tougan,2015-05-01,u5,0
Tougan,2016-05-01,ov5,1550
Tougan,2016-05-01,u5,1439
Tougan,2017-05-01,ov5,1355
Tougan,2017-05-01,u5,973
Tougan,2018-05-01,ov5,1425
Tougan,2018-05-01,u5,928
Tougan,2015-06-01,ov5,1225
Tougan,2015-06-01,u5,0
Tougan,2016-06-01,ov5,1628
Tougan,2016-06-01,u5,1519
Tougan,2017-06-01,ov5,1317
Tougan,2017-06-01,u5,1031
Tougan,2018-06-01,ov5,1278
Tougan,2018-06-01,u5,849
Tougan,2015-07-01,ov5,1422
Tougan,2015-07-01,u5,0
Tougan,2016-07-01,ov5,3265
Tougan,2016-07-01,u5,4045
Tougan,2017-07-01,ov5,8325
Tougan,2017-07-01,u5,10338
Tougan,2018-07-01,ov5,3470
Tougan,2018-07-01,u5,3474
Tougan,2015-08-01,ov5,7073
Tougan,2015-08-01,u5,0
Tougan,2016-08-01,ov5,8559
Tougan,2016-08-01,u5,7544
Tougan,2017-08-01,ov5,9113
Tougan,2017-08-01,u5,5799
Tougan,2018-08-01,ov5,12536
Tougan,2018-08-01,u5,6157
Tougan,2015-09-01,ov5,6697
Tougan,2015-09-01,u5,0
Tougan,2016-09-01,ov5,8173
Tougan,2016-09-01,u5,6688
Tougan,2017-09-01,ov5,8429
Tougan,2017-09-01,u5,6026
Tougan,2018-09-01,ov5,11157
Tougan,2018-09-01,u5,6402
Tougan,2015-10-01,ov5,8078
Tougan,2015-10-01,u5,0
Tougan,2016-10-01,ov5,12007
Tougan,2016-10-01,u5,11388
Tougan,2017-10-01,ov5,8178
Tougan,2017-10-01,u5,5703
Tougan,2018-10-01,ov5,13663
Tougan,2018-10-01,u5,8855
Tougan,2015-11-01,ov5,6776
Tougan,2015-11-01,u5,0
Tougan,2016-11-01,ov5,4801
Tougan,2016-11-01,u5,3801
Tougan,2017-11-01,ov5,5583
Tougan,2017-11-01,u5,4025
Tougan,2018-11-01,ov5,11503
Tougan,2018-11-01,u5,7012
Tougan,2015-12-01,ov5,4324
Tougan,2015-12-01,u5,0
Tougan,2016-12-01,ov5,6478
Tougan,2016-12-01,u5,11482
Tougan,2017-12-01,ov5,3109
Tougan,2017-12-01,u5,3341
Tougan,2018-12-01,ov5,7269
Tougan,2018-12-01,u5,7341
Banfora,2015-01-01,ov5,6726
Banfora,2015-01-01,u5,0
Banfora,2016-01-01,ov5,6439
Banfora,2016-01-01,u5,3966
Banfora,2017-01-01,ov5,10844
Banfora,2017-01-01,u5,9745
Banfora,2018-01-01,ov5,11379
Banfora,2018-01-01,u5,10518
Banfora,2015-02-01,ov5,7094
Banfora,2015-02-01,u5,0
Banfora,2016-02-01,ov5,7202
Banfora,2016-02-01,u5,4686
Banfora,2017-02-01,ov5,11936
Banfora,2017-02-01,u5,11008
Banfora,2018-02-01,ov5,10931
Banfora,2018-02-01,u5,10719
Banfora,2015-03-01,ov5,6642
Banfora,2015-03-01,u5,0
Banfora,2016-03-01,ov5,6671
Banfora,2016-03-01,u5,4223
Banfora,2017-03-01,ov5,10359
Banfora,2017-03-01,u5,9209
Banfora,2018-03-01,ov5,6401
Banfora,2018-03-01,u5,5468
Banfora,2015-04-01,ov5,6652
Banfora,2015-04-01,u5,0
Banfora,2016-04-01,ov5,6949
Banfora,2016-04-01,u5,3788
Banfora,2017-04-01,ov5,9116
Banfora,2017-04-01,u5,7442
Banfora,2018-04-01,ov5,6732
Banfora,2018-04-01,u5,6662
Banfora,2015-05-01,ov5,5670
Banfora,2015-05-01,u5,0
Banfora,2016-05-01,ov5,6089
Banfora,2016-05-01,u5,3771
Banfora,2017-05-01,ov5,7058
Banfora,2017-05-01,u5,6595
Banfora,2018-05-01,ov5,6164
Banfora,2018-05-01,u5,6375
Banfora,2015-06-01,ov5,5462
Banfora,2015-06-01,u5,0
Banfora,2016-06-01,ov5,7908
Banfora,2016-06-01,u5,11259
Banfora,2017-06-01,ov5,10404
Banfora,2017-06-01,u5,14393
Banfora,2018-06-01,ov5,10522
Banfora,2018-06-01,u5,14491
Banfora,2015-07-01,ov5,12132
Banfora,2015-07-01,u5,0
Banfora,2016-07-01,ov5,13069
Banfora,2016-07-01,u5,21517
Banfora,2017-07-01,ov5,16614
Banfora,2017-07-01,u5,22601
Banfora,2018-07-01,ov5,15161
Banfora,2018-07-01,u5,21169
Banfora,2015-08-01,ov5,12861
Banfora,2015-08-01,u5,88
Banfora,2016-08-01,ov5,13815
Banfora,2016-08-01,u5,11713
Banfora,2017-08-01,ov5,13657
Banfora,2017-08-01,u5,13368
Banfora,2018-08-01,ov5,15706
Banfora,2018-08-01,u5,14492
Banfora,2015-09-01,ov5,12254
Banfora,2015-09-01,u5,86
Banfora,2016-09-01,ov5,13998
